playlist_name,playlist_id,title,video_id,date,length,nview,nlike,ndislike
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Diablo DOMINATION! (4K),0j6Cul1PcwU,2015.7.11,1363,15801,222,8
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,"Heroes of the Storm: Abathur, the Parasite! (4K)",-pM9gjtTQNc,2015.7.9,1302,22391,315,10
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: TEAM DIABLO on The Battlefield of Eternity! (Eternal Conflict),Js7IGg1SAqY,2015.7.8,1658,11184,155,2
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Zagara DOMINATION on The Battlefield of Eternity! (4K),yQS04IMq4BM,2015.7.6,995,58088,634,43
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: The Butcher Talent Build Guide! (4K Gameplay),AmwWo8U9PFU,2015.7.3,1311,18222,229,11
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: The Butcher Gameplay! (4K),y0PnPJjAF7c,2015.7.1,1652,16957,259,12
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: The Lost Vikings - Where Will We End Up This Time?! (4K HotS),qsEjNPSBvLg,2015.6.29,1128,17071,264,11
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: The Battlefield of Eternity! (The Eternal Conflict),qtNOPZYjPT8,2015.6.24,1422,10844,160,5
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,"Heroes of the Storm: Zeratul, the Dark Templar! (4K Gameplay)",KLI9jGSvauI,2015.6.18,1275,11545,187,3
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Muradin DOMINATION! (Hero League Gameplay),Is6Wc-HMPb8,2015.6.17,1337,8977,231,4
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm - Duo Queue with Khaldor! (Gameplay & Commentary),ktkrPAKLvTU,2015.6.15,1001,7772,239,3
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Longest Game I've Played? (Gameplay),saYXLmuJhPQ,2015.6.13,2215,10396,195,7
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Gazlowe Guide! (4K Gameplay),o3oCB-gahqA,2015.6.10,1116,15732,241,11
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,"Heroes of the Storm: Sgt. Hammer, the Siege Tank! (UHD Gameplay)",ts6AYX6ada8,2015.6.9,1903,35129,293,23
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,"Heroes of the Storm: Sarah Kerrigan, the Queen of Blades! (4K Gameplay)",DQsA674KVjo,2015.6.6,1154,18092,226,7
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Johanna Talent Build Guide! (Gameplay & Commentary),SXNDzbhAzVQ,2015.6.5,1907,9557,122,5
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,"Heroes of the Storm: Johanna, The Crusader of Zakarum! (UHD Johanna Gameplay)",Yz9Q6cMXJAk,2015.6.3,1536,12300,169,7
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Johanna - Abilities & Talents Overview! (4K),dAjBlU_CyD8,2015.6.3,709,6427,161,2
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,"Heroes of the Storm: ""Full Healing"" Uther Talent Build Guide! (4K Gameplay)",IoHuSMvID_4,2015.5.30,995,16368,217,11
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Hero League - No Healer?! (UHD Gameplay),EDxRCtZ-SIs,2015.5.27,1478,6200,122,1
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,"Heroes of the Storm: ""Full Beetle"" Anub'arak Talent Build! (2160p Gameplay)",-Deoz1-xZH0,2015.5.26,1518,15726,200,7
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Is this a WIN or a LOSS? (4K Hero League),HI5MbD4Xjw0,2015.5.23,1891,10187,195,5
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Topping Hero and Siege Damage! (4K Kael'thas Gameplay),ZAOMAC6v3sc,2015.5.20,1504,10485,157,13
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Kael'thas Talent Build Guide! (4K Gameplay),5lIYZtr4-Rw,2015.5.17,887,14747,212,8
Let's play World of Warcraft,PLT0hfPWJS6_sJmK5m_4R99RIswmKSO8_g,World of Warcraft: Humble Beginnings - Ep. 1! (Let's play World of Warcraft),03PQbAeWFBM,2016.6.27,2675,35436,1235,44
Let's play World of Warcraft,PLT0hfPWJS6_sJmK5m_4R99RIswmKSO8_g,World of Warcraft: Choosing Our Specialization - Ep. 2! (Let's play WoW),hTdSG0KTduI,2016.6.29,2075,18701,580,11
Let's play World of Warcraft,PLT0hfPWJS6_sJmK5m_4R99RIswmKSO8_g,World of Warcraft: Mounting Up - Ep. 3! (Let's play Warcraft),lXukFtxbUq8,2016.7.2,2250,14879,430,10
